Ordinal,Description
"92","1091 = HEAT ALARM IN AREA 5"
"93","1092 = HEAT ALARM IN AREA 6"
"94","1093 = HEAT ALARM IN AREA 7"
"95","1094 = HEAT ALARM IN AREA 8"
"96","1095 = WATER ALARM IN AREA 1"
"97","1096 = WATER ALARM IN AREA 2"
"98","1097 = WATER ALARM IN AREA 3"
"99","1098 = WATER ALARM IN AREA 4"
"100","1099 = WATER ALARM IN AREA 5"
"101","1100 = WATER ALARM IN AREA 6"
"102","1101 = WATER ALARM IN AREA 7"
"103","1102 = WATER ALARM IN AREA 8"
"104","1103 = ANY ALARM IN AREA 1"
"105","1104 = ANY ALARM IN AREA 2"
"106","1105 = ANY ALARM IN AREA 3"
"107","1106 = ANY ALARM IN AREA 4"
"108","1107 = ANY ALARM IN AREA 5"
"109","1108 = ANY ALARM IN AREA 6"
"110","1109 = ANY ALARM IN AREA 7"
"111","1110 = ANY ALARM IN AREA 8"
"112","1111 = CODE LOCKOUT, ANY KEYPAD"
"113","1112 = KEYPAD 01 CODE-LOCKOUT"
"114","1113 = KEYPAD 02 CODE-LOCKOUT"
"115","1114 = KEYPAD 03 CODE-LOCKOUT"
"116","1115 = KEYPAD 04 CODE-LOCKOUT"
"117","1116 = KEYPAD 05 CODE-LOCKOUT"
"118","1117 = KEYPAD 06 CODE-LOCKOUT"
"119","1118 = KEYPAD 07 CODE-LOCKOUT"
"120","1119 = KEYPAD 08 CODE-LOCKOUT"
"121","1120 = KEYPAD 09 CODE-LOCKOUT"
"122","1121 = KEYPAD 10 CODE-LOCKOUT"
"123","1122 = KEYPAD 11 CODE-LOCKOUT"
"124","1123 = KEYPAD 12 CODE-LOCKOUT"
"125","1124 = KEYPAD 13 CODE-LOCKOUT"
"126","1125 = KEYPAD 14 CODE-LOCKOUT"
"127","1126 = KEYPAD 15 CODE-LOCKOUT"
"128","1127 = KEYPAD 16 CODE-LOCKOUT"
"129","1128 = FIRE TROUBLE, ANY ZONE"
"130","1129 = BURGLAR TROUBLE, ANY ZONE"
"131","1130 = FAIL TO COMMUNICATE TROUBLE"
"132","1131 = RF SENSOR LOW BATTERY TROUBLE"
"133","1132 = RF JAMMING TROUBLE"
"134","1133 = LOST KEYPAD TROUBLE"
"135","1134 = LOST INPUT EXPANDER TROUBLE"
"136","1135 = LOST OUTPUT EXPANDER TROUBLE"
"137","1136 = EEPROM MEMORY ERROR TROUBLE"
"138","1137 = RESTORE  ZONE TROUBLE"
"139","1138 = AC FAILURE TROUBLE"
"140","1139 = CONTROL LOW BATTERY TROUBLE"
"141","1140 = CONTROL OVER CURRENT TROUBLE"
"142","1141 = EXPANSION MODULE TROUBLE"
"143","1142 = OUTPUT 2 SUPERVISORY TROUBLE"
"144","1143 = TELEPHONE LINE FAULT TROUBLE"
"145","1144 = RESTORE FIRE ZONE"
"146","1145 = RESTORE FIRE SUPERVISORY ZONE"
"147","1146 = RESTORE BURGLAR ZONE"
"148","1147 = RESTORE MEDICAL ZONE"
"149","1148 = RESTORE POLICE ZONE"
"150","1149 = RESTORE AUX1 24 HR ZONE"
"151","1150 = RESTORE AUX2 24 HR ZONE"
"152","1151 = RESTORE CO ZONE"
"153","1152 = RESTORE EMERGENCY ZONE"
"154","1153 = RESTORE FREEZE ZONE"
"155","1154 = RESTORE GAS ZONE"
"156","1155 = RESTORE HEAT ZONE"
"157","1156 = RESTORE WATER ZONE"
"158","1157 = COMMUNICATION FAIL RESTORE"
"159","1158 = AC FAIL RESTORE"
"160","1159 = LOW BATTERY RESTORE"
"161","1160 = CONTROL OVER CURRENT RESTORE"
"162","1161 = EXPANSION MODULE RESTORE"
"163","1162 = OUTPUT2 RESTORE"
"164","1163 = TELEPHONE LINE RESTORE"
"165","1164 = ALARM MEMORY, ANY AREA"
"166","1165 = ALARM MEMORY, AREA 1"
"167","1166 = ALARM MEMORY, AREA 2"
"168","1167 = ALARM MEMORY, AREA 3"
"169","1168 = ALARM MEMORY, AREA 4"
"170","1169 = ALARM MEMORY, AREA 5"
"171","1170 = ALARM MEMORY, AREA 6"
"172","1171 = ALARM MEMORY, AREA 7"
"173","1172 = ALARM MEMORY, AREA 8"
"174","1173 = AREA ARMED"
"175","1174 = AREA DISARMED"
"176","1175 = AREA 1 ARM STATE"
"177","1176 = AREA 2 ARM STATE"
"178","1177 = AREA 3 ARM STATE"
"179","1178 = AREA 4 ARM STATE"
"180","1179 = AREA 5 ARM STATE"
"181","1180 = AREA 6 ARM STATE"
"182","1181 = AREA 7 ARM STATE"
"183","1182 = AREA 8 ARM STATE"
"184","1183 = AREA 1 IS ARMED AWAY"
"185","1184 = AREA 2 IS ARMED AWAY"
"186","1185 = AREA 3 IS ARMED AWAY"
"187","1186 = AREA 4 IS ARMED AWAY"
"188","1187 = AREA 5 IS ARMED AWAY"
"189","1188 = AREA 6 IS ARMED AWAY"
"190","1189 = AREA 7 IS ARMED AWAY"
"191","1190 = AREA 8 IS ARMED AWAY"
"192","1191 = AREA 1 IS ARMED STAY"
"193","1192 = AREA 2 IS ARMED STAY"
"194","1193 = AREA 3 IS ARMED STAY"
"195","1194 = AREA 4 IS ARMED STAY"
"196","1195 = AREA 5 IS ARMED STAY"
"197","1196 = AREA 6 IS ARMED STAY"
"198","1197 = AREA 7 IS ARMED STAY"
"199","1198 = AREA 8 IS ARMED STAY"
"200","1199 = AREA 1 IS ARMED STAY INSTANT"
"201","1200 = AREA 2 IS ARMED STAY INSTANT"
"202","1201 = AREA 3 IS ARMED STAY INSTANT"
"203","1202 = AREA 4 IS ARMED STAY INSTANT"
"204","1203 = AREA 5 IS ARMED STAY INSTANT"
"205","1204 = AREA 6 IS ARMED STAY INSTANT"
"206","1205 = AREA 7 IS ARMED STAY INSTANT"
"207","1206 = AREA 8 IS ARMED STAY INSTANT"
"208","1207 = AREA 1 IS ARMED NIGHT"
"209","1208 = AREA 2 IS ARMED NIGHT"
"210","1209 = AREA 3 IS ARMED NIGHT"
"211","1210 = AREA 4 IS ARMED NIGHT"
"212","1211 = AREA 5 IS ARMED NIGHT"
"213","1212 = AREA 6 IS ARMED NIGHT"
"214","1213 = AREA 7 IS ARMED NIGHT"
"215","1214 = AREA 8 IS ARMED NIGHT"
"216","1215 = AREA 1 IS ARMED NIGHT INSTANT"
"217","1216 = AREA 2 IS ARMED NIGHT INSTANT"
"218","1217 = AREA 3 IS ARMED NIGHT INSTANT"
"219","1218 = AREA 4 IS ARMED NIGHT INSTANT"
"220","1219 = AREA 5 IS ARMED NIGHT INSTANT"
"221","1220 = AREA 6 IS ARMED NIGHT INSTANT"
"222","1221 = AREA 7 IS ARMED NIGHT INSTANT"
"223","1222 = AREA 8 IS ARMED NIGHT INSTANT"
"224","1223 = AREA 1 IS ARMED VACATION"
"225","1224 = AREA 2 IS ARMED VACATION"
"226","1225 = AREA 3 IS ARMED VACATION"
"227","1226 = AREA 4 IS ARMED VACATION"
"228","1227 = AREA 5 IS ARMED VACATION"
"229","1228 = AREA 6 IS ARMED VACATION"
"230","1229 = AREA 7 IS ARMED VACATION"
"231","1230 = AREA 8 IS ARMED VACATION"
"232","1231 = AREA 1 IS FORCE ARMED"
"233","1232 = AREA 2 IS FORCE ARMED"
"234","1233 = AREA 3 IS FORCE ARMED"
"235","1234 = AREA 4 IS FORCE ARMED"
"236","1235 = AREA 5 IS FORCE ARMED"
"237","1236 = AREA 6 IS FORCE ARMED"
"238","1237 = AREA 7 IS FORCE ARMED"
"239","1238 = AREA 8 IS FORCE ARMED"
"240","1239 = ZONE BYPASSED"
"241","1240 = ZONE UNBYPASSED"
"242","1241 = ANY BURGLAR ZONE IS FAULTED"
"243","1242 = BURGLAR STATUS OF ALL AREAS"
"244","1243 = AREA 1 BURGLAR STATUS"
"245","1244 = AREA 2 BURGLAR STATUS"
"246","1245 = AREA 3 BURGLAR STATUS"
"247","1246 = AREA 4 BURGLAR STATUS"
"248","1247 = AREA 5 BURGLAR STATUS"
"249","1248 = AREA 6 BURGLAR STATUS"
"250","1249 = AREA 7 BURGLAR STATUS"
"251","1250 = AREA 8 BURGLAR STATUS"
"252","1251 = AREA 1 CHIME MODE"
"253","1252 = AREA 2 CHIME MODE"
"254","1253 = AREA 3 CHIME MODE"
"255","1254 = AREA 4 CHIME MODE"
"256","1255 = AREA 5 CHIME MODE"
"257","1256 = AREA 6 CHIME MODE"
"258","1257 = AREA 7 CHIME MODE"
"259","1258 = AREA 8 CHIME MODE"
"260","1259 = AREA 1 CHIME ALERT"
"261","1260 = AREA 2 CHIME ALERT"
"262","1261 = AREA 3 CHIME ALERT"
"263","1262 = AREA 4 CHIME ALERT"
"264","1263 = AREA 5 CHIME ALERT"
"265","1264 = AREA 6 CHIME ALERT"
"266","1265 = AREA 7 CHIME ALERT"
"267","1266 = AREA 8 CHIME ALERT"
"268","1267 = ENTRY DELAY, ANY AREA"
"269","1268 = AREA 1 ENTRY DELAY"
"270","1269 = AREA 2 ENTRY DELAY"
"271","1270 = AREA 3 ENTRY DELAY"
"272","1271 = AREA 4 ENTRY DELAY"
"273","1272 = AREA 5 ENTRY DELAY"
"274","1273 = AREA 6 ENTRY DELAY"
"275","1274 = AREA 7 ENTRY DELAY"
"276","1275 = AREA 8 ENTRY DELAY"
"277","1276 = EXIT DELAY, ANY AREA"
"278","1277 = AREA 1 EXIT DELAY"
"279","1278 = AREA 2 EXIT DELAY"
"280","1279 = AREA 3 EXIT DELAY"
"281","1280 = AREA 4 EXIT DELAY"
"282","1281 = AREA 5 EXIT DELAY"
"283","1282 = AREA 6 EXIT DELAY"
"284","1283 = AREA 7 EXIT DELAY"
"285","1284 = AREA 8 EXIT DELAY"
"286","1285 = AREA 1 EXIT DELAY ENDS"
"287","1286 = AREA 2 EXIT DELAY ENDS"
"288","1287 = AREA 3 EXIT DELAY ENDS"
"289","1288 = AREA 4 EXIT DELAY ENDS"
"290","1289 = AREA 5 EXIT DELAY ENDS"
"291","1290 = AREA 6 EXIT DELAY ENDS"
"292","1291 = AREA 7 EXIT DELAY ENDS"
"293","1292 = AREA 8 EXIT DELAY ENDS"
"294","1293 = AUTOMATIC CLOSING"
"295","1294 = EARLY CLOSING"
"296","1295 = CLOSING TIME EXTENDED"
"297","1296 = FAIL TO CLOSE"
"298","1297 = LATE TO CLOSE"
"299","1298 = KEYSWITCH CLOSING"
"300","1299 = DURESS"
"301","1300 = EXCEPTION OPENING"
"302","1301 = EARLY OPENING"
"303","1302 = FAIL TO OPEN"
"304","1303 = LATE TO OPEN"
"305","1304 = KEYSWITCH OPENING"
"306","1305 = AREA 1 CLOSING RING BACK"
"307","1306 = AREA 2 CLOSING RING BACK"
"308","1307 = AREA 3 CLOSING RING BACK"
"309","1308 = AREA 4 CLOSING RING BACK"
"310","1309 = AREA 5 CLOSING RING BACK"
"311","1310 = AREA 6 CLOSING RING BACK"
"312","1311 = AREA 7 CLOSING RING BACK"
"313","1312 = AREA 8 CLOSING RING BACK"
"314","1313 = ACCESS KEYPAD 01"
"315","1314 = ACCESS KEYPAD 02"
"316","1315 = ACCESS KEYPAD 03"
"317","1316 = ACCESS KEYPAD 04"
"318","1317 = ACCESS KEYPAD 05"
"319","1318 = ACCESS KEYPAD 06"
"320","1319 = ACCESS KEYPAD 07"
"321","1320 = ACCESS KEYPAD 08"
"322","1321 = ACCESS KEYPAD 09"
"323","1322 = ACCESS KEYPAD 10"
"324","1323 = ACCESS KEYPAD 11"
"325","1324 = ACCESS KEYPAD 12"
"326","1325 = ACCESS KEYPAD 13"
"327","1326 = ACCESS KEYPAD 14"
"328","1327 = ACCESS KEYPAD 15"
"329","1328 = ACCESS KEYPAD 16"
"330","1329 = ACCESS ANY KEYPAD"
"331","1330 = BEEP AREA 1 KEYPAD(S)"
"332","1331 = BEEP AREA 2 KEYPAD(S)"
"333","1332 = BEEP AREA 3 KEYPAD(S)"
"334","1333 = BEEP AREA 4 KEYPAD(S)"
"335","1334 = BEEP AREA 5 KEYPAD(S)"
"336","1335 = BEEP AREA 6 KEYPAD(S)"
"337","1336 = BEEP AREA 7 KEYPAD(S)"
"338","1337 = BEEP AREA 8 KEYPAD(S)"
"339","1338 = AREA 1 EXIT ERROR"
"340","1339 = AREA 2 EXIT ERROR"
"341","1340 = AREA 3 EXIT ERROR"
"342","1341 = AREA 4 EXIT ERROR"
"343","1342 = AREA 5 EXIT ERROR"
"344","1343 = AREA 6 EXIT ERROR"
"345","1344 = AREA 7 EXIT ERROR"
"346","1345 = AREA 8 EXIT ERROR"
"347","1346 = AUDIO AMPLIFIER STATUS"
"348","1347 = CONTROL POWER STATUS"
"349","1348 = LIGHT"
"350","1349 = DARK"
"351","1350 = SECURITY (DAY) ALERT"
"352","1351 = DIALER ABORT"
"353","1352 = DIALER CANCEL"
"354","1353 = DIALER AUTO TEST"
"355","1354 = LOCAL PROGRAMMING"
"356","1355 = LOCAL PROGRAMMING ENDS"
"357","1356 = KEYSWITCH ZN TAMPER ALERT"
"358","1357 = EVENT LOG, 80% FULL"
"359","1358 = TELEPHONE LINE IS RINGING"
"360","1359 = TELEPHONE LINE SEIZE"
"361","1360 = TELEPHONE LINE OFF/ON HOOK"
"362","1361 = TELEPHONE LOCAL ACCESS"
"363","1362 = TELEPHONE REMOTE ACCESS"
"364","1363 = REMOTE PROGRAMMING"
"365","1364 = REMOTE PROGRAMMING ENDS"
"366","1365 = AC FAIL TBL - POWER SUPV ZN"
"367","1366 = LOW BATTERY TBL - POWER SUPV ZN"
"368","1367 = SYSTEM START UP"
"369","1368 = CONTROL LOW VOLTAGE SHUTDOWN POINT"
"370","1369 = RF KEYFOB BUTTON 1"
"371","1370 = RF KEYFOB BUTTON 2"
"372","1371 = RF KEYFOB BUTTON 3"
"373","1372 = RF KEYFOB BUTTON 4"
"374","1373 = RF KEYFOB BUTTON 5"
"375","1374 = RF KEYFOB BUTTON 6"
"376","1375 = RF KEYFOB BUTTON 7"
"377","1376 = RF KEYFOB BUTTON 8"
"378","1377 = LOST SERIAL PORT EXPANDER TROUBLE"
"379","1378 = RULE TRIGGERED VOICE TELEPHONE DIAL"
"380","1379 = DIALER REPORT CLEARED"
"381","1380 = CENTRAL STATION KISSOFF"
"382","1381 = TRANSMITTER SUPERVISION LOSS"
"383","1382 = 2-WIRE SMOKE DET. CLEAN TRBL"
"384","1383 = ETHERNET TROUBLE"
"385","1384 = ETHERNET RESTORE"
"386","1385 = REMOTE AC RESTORE"
"387","1386 = REMOTE BATTERY RESTORE"
"388","1387 = ZONE TROUBLE"
"389","2000 = NO EVENT"
"390","2001 = AUTOMATION TASK 01"
"391","2002 = AUTOMATION TASK 02"
"392","2003 = AUTOMATION TASK 03"
"393","2004 = AUTOMATION TASK 04"
"394","2005 = AUTOMATION TASK 05"
"395","2006 = AUTOMATION TASK 06"
"396","2007 = AUTOMATION TASK 07"
"397","2008 = AUTOMATION TASK 08"
"398","2009 = AUTOMATION TASK 09"
"399","2010 = AUTOMATION TASK 10"
"400","2011 = AUTOMATION TASK 11"
"401","2012 = AUTOMATION TASK 12"
"402","2013 = AUTOMATION TASK 13"
"403","2014 = AUTOMATION TASK 14"
"404","2015 = AUTOMATION TASK 15"
"405","2016 = AUTOMATION TASK 16"
"406","2017 = AUTOMATION TASK 17"
"407","2018 = AUTOMATION TASK 18"
"408","2019 = AUTOMATION TASK 19"
"409","2020 = AUTOMATION TASK 20"
"410","2021 = AUTOMATION TASK 21"
"411","2022 = AUTOMATION TASK 22"
"412","2023 = AUTOMATION TASK 23"
"413","2024 = AUTOMATION TASK 24"
"414","2025 = AUTOMATION TASK 25"
"415","2026 = AUTOMATION TASK 26"
"416","2027 = AUTOMATION TASK 27"
"417","2028 = AUTOMATION TASK 28"
"418","2029 = AUTOMATION TASK 29"
"419","2030 = AUTOMATION TASK 30"
"420","2031 = AUTOMATION TASK 31"
"421","2032 = AUTOMATION TASK 32"
"422","3001 = KEY F1 ON KEYPAD1 ACTIVATES"
"423","3002 = KEY F2 ON KEYPAD1 ACTIVATES"
"424","3003 = KEY F3 ON KEYPAD1 ACTIVATES"
"425","3004 = KEY F4 ON KEYPAD1 ACTIVATES"
"426","3005 = KEY F5 ON KEYPAD1 ACTIVATES"
"427","3006 = KEY F6 ON KEYPAD1 ACTIVATES"
"428","3007 = KEY F1 ON KEYPAD2 ACTIVATES"
"429","3008 = KEY F2 ON KEYPAD2 ACTIVATES"
"430","3009 = KEY F3 ON KEYPAD2 ACTIVATES"
"431","3010 = KEY F4 ON KEYPAD2 ACTIVATES"
"432","3011 = KEY F5 ON KEYPAD2 ACTIVATES"
"433","3012 = KEY F6 ON KEYPAD2 ACTIVATES"
"434","3013 = KEY F1 ON KEYPAD3 ACTIVATES"
"435","3014 = KEY F2 ON KEYPAD3 ACTIVATES"
"436","3015 = KEY F3 ON KEYPAD3 ACTIVATES"
"437","3016 = KEY F4 ON KEYPAD3 ACTIVATES"
"438","3017 = KEY F5 ON KEYPAD3 ACTIVATES"
"439","3018 = KEY F6 ON KEYPAD3 ACTIVATES"
"440","3019 = KEY F1 ON KEYPAD4 ACTIVATES"
"441","3020 = KEY F2 ON KEYPAD4 ACTIVATES"
"442","3021 = KEY F3 ON KEYPAD4 ACTIVATES"
"443","3022 = KEY F4 ON KEYPAD4 ACTIVATES"
"444","3023 = KEY F5 ON KEYPAD4 ACTIVATES"
"445","3024 = KEY F6 ON KEYPAD4 ACTIVATES"
"446","3025 = KEY F1 ON KEYPAD5 ACTIVATES"
"447","3026 = KEY F2 ON KEYPAD5 ACTIVATES"
"448","3027 = KEY F3 ON KEYPAD5 ACTIVATES"
"449","3028 = KEY F4 ON KEYPAD5 ACTIVATES"
"450","3029 = KEY F5 ON KEYPAD5 ACTIVATES"
"451","3030 = KEY F6 ON KEYPAD5 ACTIVATES"
"452","3031 = KEY F1 ON KEYPAD6 ACTIVATES"
"453","3032 = KEY F2 ON KEYPAD6 ACTIVATES"
"454","3033 = KEY F3 ON KEYPAD6 ACTIVATES"
"455","3034 = KEY F4 ON KEYPAD6 ACTIVATES"
"456","3035 = KEY F5 ON KEYPAD6 ACTIVATES"
"457","3036 = KEY F6 ON KEYPAD6 ACTIVATES"
"458","3037 = KEY F1 ON KEYPAD7 ACTIVATES"
"459","3038 = KEY F2 ON KEYPAD7 ACTIVATES"
"460","3039 = KEY F3 ON KEYPAD7 ACTIVATES"
"461","3040 = KEY F4 ON KEYPAD7 ACTIVATES"
"462","3041 = KEY F5 ON KEYPAD7 ACTIVATES"
"463","3042 = KEY F6 ON KEYPAD7 ACTIVATES"
"464","3043 = KEY F1 ON KEYPAD8 ACTIVATES"
"465","3044 = KEY F2 ON KEYPAD8 ACTIVATES"
"466","3045 = KEY F3 ON KEYPAD8 ACTIVATES"
"467","3046 = KEY F4 ON KEYPAD8 ACTIVATES"
"468","3047 = KEY F5 ON KEYPAD8 ACTIVATES"
"469","3048 = KEY F6 ON KEYPAD8 ACTIVATES"
"470","3049 = KEY F1 ON KEYPAD9 ACTIVATES"
"471","3050 = KEY F2 ON KEYPAD9 ACTIVATES"
"472","3051 = KEY F3 ON KEYPAD9 ACTIVATES"
"473","3052 = KEY F4 ON KEYPAD9 ACTIVATES"
"474","3053 = KEY F5 ON KEYPAD9 ACTIVATES"
"475","3054 = KEY F6 ON KEYPAD9 ACTIVATES"
"476","3055 = KEY F1 ON KEYPAD10 ACTIVATES"
"477","3056 = KEY F2 ON KEYPAD10 ACTIVATES"
"478","3057 = KEY F3 ON KEYPAD10 ACTIVATES"
"479","3058 = KEY F4 ON KEYPAD10 ACTIVATES"
"480","3059 = KEY F5 ON KEYPAD10 ACTIVATES"
"481","3060 = KEY F6 ON KEYPAD10 ACTIVATES"
"482","3061 = KEY F1 ON KEYPAD11 ACTIVATES"
"483","3062 = KEY F2 ON KEYPAD11 ACTIVATES"
"484","3063 = KEY F3 ON KEYPAD11 ACTIVATES"
"485","3064 = KEY F4 ON KEYPAD11 ACTIVATES"
"486","3065 = KEY F5 ON KEYPAD11 ACTIVATES"
"487","3066 = KEY F6 ON KEYPAD11 ACTIVATES"
"488","3067 = KEY F1 ON KEYPAD12 ACTIVATES"
"489","3068 = KEY F2 ON KEYPAD12 ACTIVATES"
"490","3069 = KEY F3 ON KEYPAD12 ACTIVATES"
"491","3070 = KEY F4 ON KEYPAD12 ACTIVATES"
"492","3071 = KEY F5 ON KEYPAD12 ACTIVATES"
"493","3072 = KEY F6 ON KEYPAD12 ACTIVATES"
"494","3073 = KEY F1 ON KEYPAD13 ACTIVATES"
"495","3074 = KEY F2 ON KEYPAD13 ACTIVATES"
"496","3075 = KEY F3 ON KEYPAD13 ACTIVATES"
"497","3076 = KEY F4 ON KEYPAD13 ACTIVATES"
"498","3077 = KEY F5 ON KEYPAD13 ACTIVATES"
"499","3078 = KEY F6 ON KEYPAD13 ACTIVATES"
"500","3079 = KEY F1 ON KEYPAD14 ACTIVATES"
"501","3080 = KEY F2 ON KEYPAD14 ACTIVATES"
"502","3081 = KEY F3 ON KEYPAD14 ACTIVATES"
"503","3082 = KEY F4 ON KEYPAD14 ACTIVATES"
"504","3083 = KEY F5 ON KEYPAD14 ACTIVATES"
"505","3084 = KEY F6 ON KEYPAD14 ACTIVATES"
"506","3085 = KEY F1 ON KEYPAD15 ACTIVATES"
"507","3086 = KEY F2 ON KEYPAD15 ACTIVATES"
"508","3087 = KEY F3 ON KEYPAD15 ACTIVATES"
"509","3088 = KEY F4 ON KEYPAD15 ACTIVATES"
"510","3089 = KEY F5 ON KEYPAD15 ACTIVATES"
"511","3090 = KEY F6 ON KEYPAD15 ACTIVATES"
"512","3091 = KEY F1 ON KEYPAD16 ACTIVATES"
"513","3092 = KEY F2 ON KEYPAD16 ACTIVATES"
"514","3093 = KEY F3 ON KEYPAD16 ACTIVATES"
"515","3094 = KEY F4 ON KEYPAD16 ACTIVATES"
"516","3095 = KEY F5 ON KEYPAD16 ACTIVATES"
"517","3096 = KEY F6 ON KEYPAD16 ACTIVATES"
"518","3097 = F1 KEY ON ANY KEYPAD ACTIVATES"
"519","3098 = F2 KEY ON ANY KEYPAD ACTIVATES"
"520","3099 = F3 KEY ON ANY KEYPAD ACTIVATES"
"521","3100 = F4 KEY ON ANY KEYPAD ACTIVATES"
"522","3101 = F5 KEY ON ANY KEYPAD ACTIVATES"
"523","3102 = F6 KEY ON ANY KEYPAD ACTIVATES"
"524","3103 = ANY F KEY ON ANY KEYPAD ACTIVATES"
"525","4001 = ZONE 1 STATE"
"526","4002 = ZONE 2 STATE"
"527","4003 = ZONE 3 STATE"
"528","4004 = ZONE 4 STATE"
"529","4005 = ZONE 5 STATE"
"530","4006 = ZONE 6 STATE"
"531","4007 = ZONE 7 STATE"
"532","4008 = ZONE 8 STATE"
"533","4009 = ZONE 9 STATE"
"534","4010 = ZONE 10 STATE"
"535","4011 = ZONE 11 STATE"
"536","4012 = ZONE 12 STATE"
"537","4013 = ZONE 13 STATE"
"538","4014 = ZONE 14 STATE"
"539","4015 = ZONE 15 STATE"
"540","4016 = ZONE 16 STATE"
"541","4017 = ZONE 17 STATE"
"542","4018 = ZONE 18 STATE"
"543","4019 = ZONE 19 STATE"
"544","4020 = ZONE 20 STATE"
"545","4021 = ZONE 21 STATE"
"546","4022 = ZONE 22 STATE"
"547","4023 = ZONE 23 STATE"
"548","4024 = ZONE 24 STATE"
