PanelType,WordListVer,Value,Description
"M1G","0.8","156","Enter"
"M1G","0.8","157","Entering"
"M1G","0.8","158","Entertainment"
"M1G","0.8","159","Enter the"
"M1G","0.8","160","Entry"
"M1G","0.8","161","Environment"
"M1G","0.8","162","Equipment"
"M1G","0.8","163","Error"
"M1G","0.8","164","Evacuate"
"M1G","0.8","165","Event"
"M1G","0.8","166","Exercise"
"M1G","0.8","167","Expander"
"M1G","0.8","168","Exit"
"M1G","0.8","169","Exterior"
"M1G","0.8","170","F"
"M1G","0.8","171","Fail"
"M1G","0.8","172","Failure"
"M1G","0.8","173","Family room"
"M1G","0.8","174","Fan"
"M1G","0.8","175","Feed"
"M1G","0.8","176","Fence"
"M1G","0.8","177","Fire"
"M1G","0.8","178","First"
"M1G","0.8","179","Flood"
"M1G","0.8","180","Floor"
"M1G","0.8","181","Followed"
"M1G","0.8","182","Force"
"M1G","0.8","183","Fountain"
"M1G","0.8","184","Foyer"
"M1G","0.8","185","Freeze"
"M1G","0.8","186","Front"
"M1G","0.8","187","Full"
"M1G","0.8","188","Furnace"
"M1G","0.8","189","Fuse"
"M1G","0.8","190","Game"
"M1G","0.8","191","Garage"
"M1G","0.8","192","Gas"
"M1G","0.8","193","Gate"
"M1G","0.8","194","Glass"
"M1G","0.8","195","Go"
"M1G","0.8","196","Good"
"M1G","0.8","197","Goodbye"
"M1G","0.8","198","Great"
"M1G","0.8","199","Group"
"M1G","0.8","200","Guest"
"M1G","0.8","201","Gun"
"M1G","0.8","202","Hall"
"M1G","0.8","203","Hallway"
"M1G","0.8","204","Hanging up"
"M1G","0.8","205","Hang up"
"M1G","0.8","206","Has"
"M1G","0.8","207","Has Expired"
"M1G","0.8","208","Have"
"M1G","0.8","209","Hear menu options"
"M1G","0.8","210","Heat"
"M1G","0.8","211","Help"
"M1G","0.8","212","High"
"M1G","0.8","213","Hold"
"M1G","0.8","214","Home"
"M1G","0.8","215","Hot"
"M1G","0.8","216","Hottub"
"M1G","0.8","217","House"
"M1G","0.8","218","Humidity"
"M1G","0.8","219","HVAC"
"M1G","0.8","220","If"
"M1G","0.8","221","Immediately"
"M1G","0.8","222","In"
"M1G","0.8","223","Inches"
"M1G","0.8","224","Increase"
"M1G","0.8","225","Inner"
"M1G","0.8","226","Input"
"M1G","0.8","227","Inside"
"M1G","0.8","228","Instant"
"M1G","0.8","229","Interior"
"M1G","0.8","230","In The"
"M1G","0.8","231","Intruder"
"M1G","0.8","232","Intrusion"
"M1G","0.8","233","Invalid"
"M1G","0.8","234","Is"
"M1G","0.8","235","Is about to expire"
"M1G","0.8","236","Is active"
"M1G","0.8","237","Is armed"
"M1G","0.8","238","Is canceled"
"M1G","0.8","239","Is closed"
"M1G","0.8","240","Is disarmed"
"M1G","0.8","241","Is low"
"M1G","0.8","242","Is off"
"M1G","0.8","243","Is OK"
"M1G","0.8","244","Is on"
"M1G","0.8","245","Is open"
"M1G","0.8","246","Jacuzzi"
"M1G","0.8","247","Jewelry"
"M1G","0.8","248","Keep"
"M1G","0.8","249","Key"
"M1G","0.8","250","Keypad"
"M1G","0.8","251","Kitchen"
"M1G","0.8","252","Lamp"
"M1G","0.8","253","Laundry"
"M1G","0.8","254","Lawn"
"M1G","0.8","255","Leak"
"M1G","0.8","256","Leave"
"M1G","0.8","257","Left"
"M1G","0.8","258","Less"
"M1G","0.8","259","Level"
"M1G","0.8","260","Library"
"M1G","0.8","261","Light"
"M1G","0.8","262","Lights"
"M1G","0.8","263","Line"
"M1G","0.8","264","Living room"
"M1G","0.8","265","Loading"
"M1G","0.8","266","Lobby"
"M1G","0.8","267","Location"
"M1G","0.8","268","Lock"
"M1G","0.8","269","Low"
"M1G","0.8","270","Lower"
"M1G","0.8","271","M"
"M1G","0.8","272","Machine"
"M1G","0.8","273","Mail"
"M1G","0.8","274","Main"
"M1G","0.8","275","Mains"
"M1G","0.8","276","Manual"
"M1G","0.8","277","Master"
"M1G","0.8","278","Max"
"M1G","0.8","279","Media"
"M1G","0.8","280","Medical"
"M1G","0.8","281","Medicine"
"M1G","0.8","282","Memory"
"M1G","0.8","283","Menu"
"M1G","0.8","284","Message"
"M1G","0.8","285","Middle"
"M1G","0.8","286","Minute"
"M1G","0.8","287","Missing"
"M1G","0.8","288","Mode"
"M1G","0.8","289","Module"
"M1G","0.8","290","Monitor"
"M1G","0.8","291","More"
"M1G","0.8","292","Motion"
"M1G","0.8","293","Motor"
"M1G","0.8","294","Next"
"M1G","0.8","295","Night"
"M1G","0.8","296","No"
"M1G","0.8","297","Normal"
"M1G","0.8","298","North"
"M1G","0.8","299","Not"
"M1G","0.8","300","Notified"
"M1G","0.8","301","Now"
"M1G","0.8","302","Number"
"M1G","0.8","303","Nursery"
"M1G","0.8","304","Of"
"M1G","0.8","305","Off"
"M1G","0.8","306","Office"
"M1G","0.8","307","Oh"
"M1G","0.8","308","OK"
"M1G","0.8","309","On"
"M1G","0.8","310","Online"
"M1G","0.8","311","Only"
"M1G","0.8","312","Open"
"M1G","0.8","313","Operating"
"M1G","0.8","314","Option"
"M1G","0.8","315","Or"
"M1G","0.8","316","Other"
"M1G","0.8","317","Out"
"M1G","0.8","318","Outlet"
"M1G","0.8","319","Output"
"M1G","0.8","320","Outside"
"M1G","0.8","321","Over"
"M1G","0.8","322","Overhead"
"M1G","0.8","323","Panel"
"M1G","0.8","324","Panic"
"M1G","0.8","325","Parking"
"M1G","0.8","326","Partition"
"M1G","0.8","327","Patio"
"M1G","0.8","328","Pause"
"M1G","0.8","329","Perimeter"
"M1G","0.8","330","Personal"
"M1G","0.8","331","Phone"
"M1G","0.8","332","Place"
"M1G","0.8","333","Play"
"M1G","0.8","334","Please"
"M1G","0.8","335","Plus"
"M1G","0.8","336","PM"
"M1G","0.8","337","Police"
"M1G","0.8","338","Pool"
"M1G","0.8","339","Porch"
"M1G","0.8","340","Port"
"M1G","0.8","341","Pound"
"M1G","0.8","342","Pounds"
"M1G","0.8","343","Power"
"M1G","0.8","344","Press"
"M1G","0.8","345","Pressure"
"M1G","0.8","346","Problem"
"M1G","0.8","347","Program"
"M1G","0.8","348","Protected"
"M1G","0.8","349","Pump"
"M1G","0.8","350","Radio"
"M1G","0.8","351","Raise"
"M1G","0.8","352","Ready"
"M1G","0.8","353","Rear"
"M1G","0.8","354","Receiver"
"M1G","0.8","355","Record"
"M1G","0.8","356","Recreation"
"M1G","0.8","357","Relay"
"M1G","0.8","358","Remain calm"
"M1G","0.8","359","Remote"
"M1G","0.8","360","Repeat"
"M1G","0.8","361","Report"
"M1G","0.8","362","Reporting"
"M1G","0.8","363","Reset"
"M1G","0.8","364","Restored"
"M1G","0.8","365","Return"
"M1G","0.8","366","Right"
"M1G","0.8","367","Roof"
"M1G","0.8","368","Room"
"M1G","0.8","369","Running"
"M1G","0.8","370","Safe"
"M1G","0.8","371","Save"
"M1G","0.8","372","Screen"
"M1G","0.8","373","Second"
"M1G","0.8","374","Secure"
"M1G","0.8","375","Security"
"M1G","0.8","376","Select"
"M1G","0.8","377","Sensor"
"M1G","0.8","378","Serial"
"M1G","0.8","379","Service"
"M1G","0.8","380","Set"
"M1G","0.8","381","Setback"
"M1G","0.8","382","Setpoint"
"M1G","0.8","383","Setting"
"M1G","0.8","384","Shed"
"M1G","0.8","385","Shipping"
"M1G","0.8","386","Shock"
"M1G","0.8","387","Shop"
"M1G","0.8","388","Shorted"
"M1G","0.8","389","Shunted"
"M1G","0.8","390","Side"
"M1G","0.8","391","Silence"
"M1G","0.8","392","Siren"
"M1G","0.8","393","Sliding"
"M1G","0.8","394","Smoke"
"M1G","0.8","395","Someone"
"M1G","0.8","396","South"
"M1G","0.8","397","Spare"
"M1G","0.8","398","Speaker"
"M1G","0.8","399","Sprinkler"
"M1G","0.8","400","Stairs"
"M1G","0.8","401","Stairway"
"M1G","0.8","402","Star"
"M1G","0.8","403","Start"
"M1G","0.8","404","Status"
"M1G","0.8","405","Stay"
"M1G","0.8","406","Stock"
"M1G","0.8","407","Stop"
"M1G","0.8","408","Storage"
"M1G","0.8","409","Storm"
"M1G","0.8","410","Studio"
"M1G","0.8","411","Study"
"M1G","0.8","412","Sump"
"M1G","0.8","413","Sun"
"M1G","0.8","414","Switch"
"M1G","0.8","415","System"
"M1G","0.8","416","Tamper"
"M1G","0.8","417","Tank"
"M1G","0.8","418","Task"
"M1G","0.8","419","Telephone"
"M1G","0.8","420","Television"
"M1G","0.8","421","Temperature"
"M1G","0.8","422","Test"
"M1G","0.8","423","Thank you"
"M1G","0.8","424","That"
"M1G","0.8","425","The"
"M1G","0.8","426","Theater"
"M1G","0.8","427","Thermostat"
"M1G","0.8","428","Third"
"M1G","0.8","429","Time"
"M1G","0.8","430","Toggle"
"M1G","0.8","431","Top"
"M1G","0.8","432","Transformer"
"M1G","0.8","433","Transmitter"
"M1G","0.8","434","Trespassing"
"M1G","0.8","435","Trouble"
"M1G","0.8","436","Turn"
"M1G","0.8","437","Twice"
"M1G","0.8","438","Type"
"M1G","0.8","439","Under"
"M1G","0.8","440","Unit"
"M1G","0.8","441","Unlocked"
"M1G","0.8","442","Unoccupied"
"M1G","0.8","443","Up"
"M1G","0.8","444","User"
"M1G","0.8","445","Utility"
"M1G","0.8","446","Vacation"
"M1G","0.8","447","Valve"
"M1G","0.8","448","Video"
"M1G","0.8","449","Violated"
"M1G","0.8","450","Visitor"
"M1G","0.8","451","Wake up"
"M1G","0.8","452","Walk"
"M1G","0.8","453","Wall"
"M1G","0.8","454","Warehouse"
"M1G","0.8","455","Warning"
"M1G","0.8","456","Water"
"M1G","0.8","457","Way"
"M1G","0.8","458","Welcome"
"M1G","0.8","459","West"
"M1G","0.8","460","What"
"M1G","0.8","461","When"
"M1G","0.8","462","Where"
"M1G","0.8","463","Will"
"M1G","0.8","464","Window"
"M1G","0.8","465","Windows"
"M1G","0.8","466","With"
"M1G","0.8","467","Work"
"M1G","0.8","468","Yard"
"M1G","0.8","469","Year"
"M1G","0.8","470","You"
"M1G","0.8","471","Zone"
"M1G","0.8","472","Zones"
"M1G","0.8","473","[Intruder Message]"
